index,title,description,publish_date,publish_time,likes,views,category,channel_id
1,Joe Biden congratulates Donald Trump as pair shake hands. #Trump #Biden #BBCNews,,2024-11-13,19:00:32,2167,73267,news,UC16niRr50-MSBwiO3YDb3RA
2,"The Queen vs The President: ""Boom"" - BBC News","The Queen and Prince Harry have responded to Barack and Michelle Obama's Invictus Games challenge in a video posted on the Kensington Palace Twitter account.


Subscribe to BBC News HERE http://bit.ly/1rbfUog
Check out our website: http://www.bbc.com/news 
Facebook: http://www.facebook.com/bbcnews
Twitter: http://www.twitter.com/bbcworld
Instagram: http://instagram.com/bbcnews",2016-04-29,17:59:12,79031,4319639,news,UC16niRr50-MSBwiO3YDb3RA
3,Science rejuvenates woman's skin cells to 30 years younger - BBC News,"Researchers have rejuvenated a 53-year-old woman's skin cells so they are the equivalent of a 23-year-old's.

Scientists in Cambridge believe that they can do the same thing with other tissues in the body which could lead to treatments for age-related diseases such as diabetes, heart disease and neurological disorders.

The technology is built on the techniques used to create Dolly the cloned sheep more than 25 years ago.

Please subscribe HERE http://bit.ly/1rbfUog

#BBCNews",2022-04-08,19:00:11,32469,1099386,news,UC16niRr50-MSBwiO3YDb3RA
4,World’s largest coral found in Pacific Ocean | BBC News,"The largest coral ever recorded has been found by scientists in the southwest Pacific Ocean.

The mega coral - which is a collection of multiple organisms that together form one structure, rather than a reef - could be more than 300 years old.

It was found by a videographer working on a National Geographic ship visiting remote parts of the Pacific to see how it has been affected by climate change.

Subscribe here: http://bit.ly/1rbfUog

For more news, analysis and features visit: www.bbc.com/news 

#Coral #BBCNews",2024-11-16,18:00:00,1871,189218,news,UC16niRr50-MSBwiO3YDb3RA
5,"Dinosaur fossil from asteroid strike that caused extinction found, scientists claim - BBC News","A dinosaur's leg, stunningly preserved, has been presented by scientists claiming it was likely killed by a giant asteroid which caused the species' extinction.

The limb, complete with skin, is just one of a series of remarkable finds emerging from the Tanis fossil site in the US State of North Dakota.

But it's not just their exquisite condition that's turning heads - it's what these ancient specimens purport to represent.

The claim is the Tanis creatures were killed on the actual day the asteroid struck Earth 66 million years ago, which saw the reign of dinosaurs end.

The BBC's Rebecca Morrelle reports.

Please subscribe HERE http://bit.ly/1rbfUog

#Dinosaur #BBCNews",2022-04-07,13:00:31,54317,2281702,news,UC16niRr50-MSBwiO3YDb3RA
6,'You killed a million people in Iraq' George Galloway tells Jacqui Smith - BBC News,"Subscribe to BBC News www.youtube.com/bbcnews
George Galloway told a former member of Tony Blair and Gordon Brown's cabinets she killed one million people in Iraq. The former Labour MP, now a Respect MP, turned on Jacqui Smith as they looked ahead to Friday's vote in Parliament on possible UK military action in the Middle East.

Subscribe to BBC News HERE http://bit.ly/1rbfUog
Check out our website: http://www.bbc.com/news 
Facebook: http://www.facebook.com/bbcworldnews 
Twitter: http://www.twitter.com/bbcworld
Instagram: http://instagram.com/bbcnews",2014-09-26,13:47:14,197006,13475181,news,UC16niRr50-MSBwiO3YDb3RA
7,Inside the brain of a gambling addict - BBC News,"What happens inside the brain of a gambling addict when they make a bet - and can the secret to their addiction be found within the brain itself? BBC Panorama filmed a unique experiment designed to find out. Wendy Bendel's partner killed himself after struggling with a 20-year gambling addiction. In a confession he wrote for Wendy he singled out the high-stakes, high-frequency fixed-odds betting terminals (FOBTs) found in bookmakers across the UK. These machines offer gamblers a choice of games, and combine potentially high stakes with the chance of a win every 20 seconds.
Join Wendy on tonight's Panorama, as she seeks to find out why these machines can be so addictive, and are so controversial.
Panorama - Why are Gambling Machines Addictive? is broadcast on BBC One on Monday 12 September at 20:30.

Please subscribe HERE http://bit.ly/1rbfUog

Islamic State's 'Most Wanted' https://www.youtube.com/playlist?list=PLS3XGZxi7cBX5GE4jXnF9bvF4C801cul3
World In Pictures https://www.youtube.com/playlist?list=PLS3XGZxi7cBX37n4R0UGJN-TLiQOm7ZTP
Big Hitters https://www.youtube.com/playlist?list=PLS3XGZxi7cBUME-LUrFkDwFmiEc3jwMXP
Just Good News https://www.youtube.com/playlist?list=PLS3XGZxi7cBUsYo_P26cjihXLN-k3w246",2016-09-12,11:12:11,7999,1111623,news,UC16niRr50-MSBwiO3YDb3RA
8,Why does Japan have so few children? - BBC News,"Japan's number of children has been reported to be at its lowest since 1950.

There are just 14.6 million children in the nation under the age of 14, according to figures from Japan's internal affairs ministry.

Japan's falling birth rate and high life expectancy is putting pressure on public spending and resulting in labour shortages.

The BBC's population correspondent Stephanie Hegarty reports.

Please subscribe HERE http://bit.ly/1rbfUog

#Japan #BBCNews",2022-05-07,14:00:33,19764,1608491,news,UC16niRr50-MSBwiO3YDb3RA
9,Marcus Rashford tells of childhood poverty in campaign for free school meals - BBC News,"The England and Manchester United footballer Marcus Rashford has been speaking about his own experiences of poverty and being short of food as a child. 

He was describing his childhood as he campaigned for the government to provide free school meal vouchers for vulnerable children throughout the school holidays. 

He's written to every MP for support after helping to raise £20 million for food for low income families during the lockdown. 

Fiona Bruce presents BBC News at Ten reporting by Elaine Dunkley. 

Please subscribe HERE http://bit.ly/1rbfUog",2020-06-15,21:40:40,4409,272797,news,UC16niRr50-MSBwiO3YDb3RA
10,Radical new gene therapy restores sight to patients with rare eye condition - BBC News,"Scientists have been using a new form of gene therapy to treat a rare inherited eye condition which eventually causes severe tunnel vision. 

Scientists have been using the new treatment on patients to try to halt further loss of sight.  And  they've been astonished to find that it has actually improved their vision. 

Sophie Raworth presents BBC News at Ten reporting by medical editor Fergus Walsh.

Please subscribe HERE http://bit.ly/1rbfUog

#BBCNews",2021-04-29,21:42:45,2856,210901,news,UC16niRr50-MSBwiO3YDb3RA
