index,page,name,category,image,price,rating,rating_count,delivery,is_best_seller,is_overall_pick
1,1,"Apple iPad (10th Generation): with A14 Bionic chip, 10.9-inch Liquid Retina Display, 64GB, Wi-Fi 6, 12MP front/12MP Back Camera, Touch ID, All-Day Battery Life – Blue",electronics,https://m.media-amazon.com/images/I/61uA2UVnYWL._AC_UY218_.jpg,No featured offers available$276.21(4 used & new offers),4.8,19683,,0,1
2,1,Nintendo Switch™ with Neon Blue and Neon Red Joy‑Con™,electronics,https://m.media-amazon.com/images/I/71wpE+ZIehL._AC_UY218_.jpg,$299.00,4.7,8012,$45.66 delivery,0,0
3,1,Canon EOS Rebel T7 DSLR Camera with 18-55mm Lens | Built-in Wi-Fi | 24.1 MP CMOS Sensor | DIGIC 4+ Image Processor and Full HD Videos,electronics,https://m.media-amazon.com/images/I/71Is-Zv6A0L._AC_UY218_.jpg,No featured offers available$453.92(19 used & new offers),4.7,7318,,1,0
4,1,"LISEN Retractable Car Charger [69W USB C Car Charger Adapter] iPhone 16 Car Charger Fast Charging, Gift for Men Women, Car Accessories USBC Car Charger for iPhone 16 15 14 13 12 Android, Gray",electronics,https://m.media-amazon.com/images/I/71R6ka8Os4L._AC_UY218_.jpg,$16.98,4.5,1154,"FREE delivery Thu, Dec 12 to Palestinian Territories on $49 of eligible items",1,0
5,1,"SAMSUNG 990 EVO SSD 1TB, PCIe Gen 4x4, Gen 5x2 M.2 2280 NVMe Internal Solid State Drive, Speeds Up to 5,000MB/s, Upgrade Storage for PC Computer, Laptop, MZ-V9E1T0B/AM, Black",electronics,https://m.media-amazon.com/images/I/71FHPYQ2JbL._AC_UY218_.jpg,$69.99,4.7,1383,"FREE delivery Thu, Dec 12 to Palestinian Territories",1,0
6,1,"SAMSUNG 990 PRO SSD 4TB PCIe 4.0 M.2 2280 Internal Solid State Hard Drive, Seq. Read Speeds Up to 7,450 MB/s for High End Computing, Gaming, and Heavy Duty Workstations, MZ-V9P4T0B/AM",electronics,https://m.media-amazon.com/images/I/81WuG6lQuDL._AC_UY218_.jpg,$269.99,4.8,9878,"Delivery Thu, Dec 12 to Palestinian Territories",0,0
7,1,TBS6909X DVB-S/ S2/ S2X 8 Tuner PCI Express Digital Satellite TV Card for Live TV,electronics,https://m.media-amazon.com/images/I/61glvVnrxUS._AC_UY218_.jpg,$310.00,4.5,46,"FREE delivery Wed, Dec 18 to Palestinian Territories",0,0
8,1,"ASUS Vivobook Laptop, 14"" FHD Display, i3-1215U, 16GB RAM, 512GB SSD, Wi-Fi 6, HDMI, Webcam, Touchpad, Windows 11 Home, Blue",electronics,https://m.media-amazon.com/images/I/61jojpe4KVL._AC_UY218_.jpg,$315.00,4.2,40,"Delivery Tue, Dec 17",0,0
9,1,"Samsung Galaxy Tab A9+ Tablet 11” 64GB Android Tablet, Big Screen, Quad Speakers, Upgraded Chipset, Multi Window Display, Slim, Light, Durable Design, US Version, 2024, Graphite",electronics,https://m.media-amazon.com/images/I/61d46oYQgdL._AC_UY218_.jpg,No featured offers available$143.99(17 used & new offers),4.5,6775,,0,0
10,1,Sony PS-LX310BT Belt Drive Turntable: Fully Automatic Wireless Vinyl Record Player with Bluetooth and USB Output Black,electronics,https://m.media-amazon.com/images/I/51BnnZFQl4L._AC_UY218_.jpg,No featured offers available$176.22(20 used & new offers),4.5,3500,,0,0
